"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"z:\Programming\football-app\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"z:\Programming\football-app\package-lock.json", "JSON", 0, 31659, 0, 0, 0, 0, 1, 31660
"z:\Programming\football-app\package.json", "JSON", 0, 54, 0, 0, 0, 0, 1, 55
"z:\Programming\football-app\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"z:\Programming\football-app\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"z:\Programming\football-app\src\App.css", "CSS", 0, 0, 0, 98, 0, 0, 14, 112
"z:\Programming\football-app\src\App.js", "JavaScript", 59, 0, 0, 0, 0, 0, 8, 67
"z:\Programming\football-app\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Components\CoachFilterSideBar.js", "JavaScript", 47, 0, 0, 0, 0, 0, 4, 51
"z:\Programming\football-app\src\Components\CoachModal.js", "JavaScript", 155, 0, 0, 0, 0, 2, 17, 174
"z:\Programming\football-app\src\Components\CoachesCard.js", "JavaScript", 74, 0, 0, 0, 0, 0, 9, 83
"z:\Programming\football-app\src\Components\InputStyle.css", "CSS", 0, 0, 0, 131, 0, 0, 5, 136
"z:\Programming\football-app\src\Components\NavBar.js", "JavaScript", 49, 0, 0, 0, 0, 0, 3, 52
"z:\Programming\football-app\src\Components\PlayerFilterSideBar.js", "JavaScript", 53, 0, 0, 0, 0, 0, 4, 57
"z:\Programming\football-app\src\Components\PlayerModal.js", "JavaScript", 422, 0, 0, 0, 0, 2, 32, 456
"z:\Programming\football-app\src\Components\PlayersCard.js", "JavaScript", 78, 0, 0, 0, 0, 0, 9, 87
"z:\Programming\football-app\src\Components\ScrollBar.css", "CSS", 0, 0, 0, 21, 0, 0, 4, 25
"z:\Programming\football-app\src\Components\TeamFilterSideBar.js", "JavaScript", 48, 0, 0, 0, 0, 0, 6, 54
"z:\Programming\football-app\src\Components\TeamModal.js", "JavaScript", 159, 0, 0, 0, 0, 2, 18, 179
"z:\Programming\football-app\src\Components\TeamsCard.js", "JavaScript", 78, 0, 0, 0, 0, 0, 9, 87
"z:\Programming\football-app\src\Pages\AddCoachForm.js", "JavaScript", 134, 0, 0, 0, 0, 0, 5, 139
"z:\Programming\football-app\src\Pages\AddPlayerForm.js", "JavaScript", 145, 0, 0, 0, 0, 0, 6, 151
"z:\Programming\football-app\src\Pages\AddTeamForm.js", "JavaScript", 153, 0, 0, 0, 0, 0, 6, 159
"z:\Programming\football-app\src\Pages\CoachControl.js", "JavaScript", 92, 0, 0, 0, 0, 0, 3, 95
"z:\Programming\football-app\src\Pages\Coaches.js", "JavaScript", 59, 0, 0, 0, 0, 0, 3, 62
"z:\Programming\football-app\src\Pages\Dashboard.js", "JavaScript", 55, 0, 0, 0, 0, 0, 2, 57
"z:\Programming\football-app\src\Pages\DashboardLogIn.js", "JavaScript", 79, 0, 0, 0, 0, 0, 4, 83
"z:\Programming\football-app\src\Pages\EditCoach.js", "JavaScript", 133, 0, 0, 0, 0, 0, 5, 138
"z:\Programming\football-app\src\Pages\EditPlayer.js", "JavaScript", 133, 0, 0, 0, 0, 0, 5, 138
"z:\Programming\football-app\src\Pages\EditTeam.js", "JavaScript", 203, 0, 0, 0, 0, 0, 5, 208
"z:\Programming\football-app\src\Pages\Home.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"z:\Programming\football-app\src\Pages\PlayerControl.js", "JavaScript", 92, 0, 0, 0, 0, 0, 5, 97
"z:\Programming\football-app\src\Pages\Players.js", "JavaScript", 60, 0, 0, 0, 0, 0, 3, 63
"z:\Programming\football-app\src\Pages\TeamControl.js", "JavaScript", 98, 0, 0, 0, 0, 0, 5, 103
"z:\Programming\football-app\src\Pages\TeamPage.js", "JavaScript", 229, 0, 0, 0, 0, 2, 20, 251
"z:\Programming\football-app\src\Pages\Teams.js", "JavaScript", 62, 0, 0, 0, 0, 0, 5, 67
"z:\Programming\football-app\src\Redux\CoachSearchActions.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"z:\Programming\football-app\src\Redux\Coaches\CoachesActions.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\PlayerSearchAction.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"z:\Programming\football-app\src\Redux\Players\PlayersActions.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\Reducer.js", "JavaScript", 771, 0, 0, 0, 0, 0, 11, 782
"z:\Programming\football-app\src\Redux\TeamSearchActions.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"z:\Programming\football-app\src\Redux\Teams\TeamsActions.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\constants.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 13
"z:\Programming\football-app\src\index.css", "CSS", 0, 0, 0, 3, 0, 0, 1, 4
"z:\Programming\football-app\src\index.js", "JavaScript", 25, 0, 0, 0, 0, 3, 6, 34
"z:\Programming\football-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"z:\Programming\football-app\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"z:\Programming\football-app\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 3881, 31713, 38, 253, 20, 38, 300, 36243